respondent_id,survey_year,region,province,sex,age,civil_status,education_level,years_of_schooling,employment_status,occupation_type,monthly_income_php,household_size,num_children,housing_type,water_source,toilet_facility,electricity_source,internet_access,health_insurance,food_insecurity_score,bmi,mental_health_score,dist_to_health_facility_km,received_gov_aid,gov_aid_amount_php
PH-002035,2020,Region IV-A,Cavite,Female,40,Married,College,16,Retired,Government,6851.0,7,0,Shared/Rent-free,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Both,None,3,27.9,2.0,5.7,0,0
PH-002036,2023,BARMM,Basilan,Female,50,Married,High School,12,Underemployed,None/Informal,5980.0,5,2,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,None,Both,PhilHealth Only,4,19.3,1.0,15.7,1,1000
PH-002037,2022,Region VII,Cebu,Male,38,Widowed,Elementary,5,Self-Employed,IT/Tech,28290.0,5,1,Owned - Light Materials,Shallow Well,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,25.7,4.0,10.6,1,1000
PH-002038,2023,Region II,Region II Province,Male,40,Widowed,College,18,Unemployed,None/Informal,,2,3,Informal Settler,Deep Well,Pit Latrine,Meralco/Electric Coop,Broadband,PhilHealth + HMO,3,27.8,13.0,2.5,1,500
PH-002039,2018,Region VIII,Region VIII Province,Male,46,Married,High School,11,Unemployed,None/Informal,0.0,5,3,Owned - Light Materials,Piped/NAWASA,Water-sealed/Flush,None,Broadband,PhilHealth Only,5,,4.0,2.3,1,1500
PH-002040,2018,NCR,Metro Manila,Female,25,Single,High School,9,Self-Employed,Construction,23242.0,5,2,Owned - Concrete,Deep Well,Pit Latrine,Meralco/Electric Coop,Broadband,PhilHealth + HMO,3,24.6,15.0,1.0,1,1000
PH-002041,2019,Region VI,Region VI Province,Female,67,Live-in,Vocational/Tech,14,Student,None/Informal,0.0,5,0,Informal Settler,Deep Well,None,None,Mobile Data Only,None,2,26.5,6.0,7.1,1,1000
PH-002042,2021,CAR,CAR Province,Female,40,Separated/Annulled,High School,9,Employed,None/Informal,23302.0,3,0,Owned - Concrete,Piped/NAWASA,Pit Latrine,Meralco/Electric Coop,None,HMO Only,2,28.1,13.0,3.3,0,0
PH-002043,2019,NCR,Metro Manila,Female,37,Married,Vocational/Tech,14,Retired,Transport/Logistics,11546.0,3,2,Owned - Light Materials,Bottled/Delivered,Shared Toilet,Meralco/Electric Coop,Broadband,None,3,19.7,9.0,1.6,0,0
PH-002044,2020,Region IV-A,Rizal,Female,47,Widowed,Vocational/Tech,14,Retired,Manufacturing,15085.0,2,0,Rented,Piped/NAWASA,Water-sealed/Flush,None,None,PhilHealth Only,3,26.7,14.0,16.6,0,0
PH-002045,2019,CAR,CAR Province,Male,41,Separated/Annulled,College,16,Employed,Healthcare,48114.0,6,3,Owned - Concrete,Piped/NAWASA,None,Meralco/Electric Coop,None,PhilHealth Only,2,27.7,4.0,10.3,0,0
PH-002046,2021,Region X,Region X Province,Male,29,Live-in,College,18,Retired,Agriculture/Fishing,10226.0,8,0,Shared/Rent-free,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Both,PhilHealth + HMO,3,17.7,7.0,8.3,1,500
PH-002047,2021,Region X,Region X Province,Female,35,Separated/Annulled,College,16,Employed,IT/Tech,12750.0,3,3,Owned - Concrete,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,2,25.4,11.0,3.0,0,0
PH-002048,2021,Region VII,Negros Oriental,Female,60,Live-in,College,16,Student,None/Informal,0.0,5,0,Shared/Rent-free,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,4,21.7,15.0,2.6,0,0
PH-002049,2020,NCR,Metro Manila,Female,33,Widowed,Elementary,6,Underemployed,Transport/Logistics,17197.0,6,0,Shared/Rent-free,Shallow Well,Pit Latrine,Meralco/Electric Coop,Broadband,PhilHealth Only,2,22.5,7.0,2.6,1,1000
PH-002050,2018,Region VII,Negros Oriental,Male,39,Widowed,High School,11,Employed,Agriculture/Fishing,11423.0,6,5,Owned - Concrete,Deep Well,Shared Toilet,Meralco/Electric Coop,None,PhilHealth + HMO,4,18.1,5.0,8.8,1,1000
PH-002051,2018,Region I,La Union,Male,26,Married,College,18,Employed,Retail/Trade,31770.0,6,0,Rented,Bottled/Delivered,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,2,,,4.2,1,1000
PH-002052,2020,Region VIII,Region VIII Province,Male,20,Widowed,Postgraduate,20,Employed,Manufacturing,64825.0,2,1,Rented,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,30.6,1.0,8.5,1,500
PH-002053,2020,Region IV-B,Region IV-B Province,Male,35,Widowed,High School,10,Employed,Retail/Trade,,5,2,Rented,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Broadband,None,3,24.8,8.0,5.3,1,1500
PH-002054,2021,Region II,Region II Province,Female,42,Single,High School,12,Employed,Manufacturing,63045.0,2,5,Rented,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,None,1,23.9,11.0,5.8,0,0
PH-002055,2018,Region VI,Region VI Province,Male,27,Married,Postgraduate,20,Unemployed,None/Informal,,4,1,Owned - Concrete,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Both,PhilHealth Only,3,28.1,9.0,2.9,0,0
PH-002056,2023,Region IX,Region IX Province,Female,45,Separated/Annulled,College,15,Employed,Agriculture/Fishing,29271.0,6,3,Shared/Rent-free,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,2,22.1,,6.8,1,1000
PH-002057,2018,Region V,Region V Province,Male,34,Married,Vocational/Tech,14,Retired,Transport/Logistics,10372.0,7,1,Rented,Piped/NAWASA,None,Meralco/Electric Coop,None,PhilHealth Only,3,23.7,6.0,8.3,0,0
PH-002058,2020,Region VIII,Region VIII Province,Female,44,Married,High School,12,Self-Employed,Transport/Logistics,39660.0,7,2,Rented,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,3,,10.0,4.6,1,1000
PH-002059,2023,CAR,CAR Province,Male,36,Separated/Annulled,High School,11,Underemployed,Agriculture/Fishing,17990.0,3,5,Informal Settler,Bottled/Delivered,None,Meralco/Electric Coop,Mobile Data Only,None,1,19.4,13.0,17.5,0,0
PH-002060,2021,Region IV-A,Rizal,Female,42,Widowed,Postgraduate,17,Employed,Transport/Logistics,35490.0,4,0,Shared/Rent-free,Piped/NAWASA,None,Meralco/Electric Coop,None,None,3,21.7,16.0,4.6,1,1000
PH-002061,2018,Region I,Ilocos Norte,Female,25,Separated/Annulled,High School,11,Unemployed,None/Informal,,4,2,Owned - Concrete,Piped/NAWASA,None,Solar,Broadband,PhilHealth Only,3,21.0,9.0,5.7,0,0
PH-002062,2021,Region IV-A,Cavite,Female,28,Live-in,Vocational/Tech,13,Unemployed,None/Informal,0.0,3,2,Owned - Concrete,Bottled/Delivered,Pit Latrine,Meralco/Electric Coop,Both,PhilHealth Only,2,18.6,5.0,4.4,0,0
PH-002063,2021,Region IV-B,Region IV-B Province,Female,38,Widowed,Vocational/Tech,12,Employed,Agriculture/Fishing,58995.0,6,1,Rented,Deep Well,Water-sealed/Flush,None,None,PhilHealth Only,2,20.3,,4.1,1,1500
PH-002064,2023,Region I,Pangasinan,Female,38,Single,College,16,Retired,None/Informal,7108.0,5,4,Owned - Concrete,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,None,None,3,26.2,11.0,3.8,0,0
PH-002065,2021,Region X,Region X Province,Male,37,Married,Elementary,7,Employed,Government,24527.0,4,0,Owned - Concrete,Piped/NAWASA,Pit Latrine,None,Mobile Data Only,None,3,26.6,18.0,7.9,1,1000
PH-002066,2023,Region XI,Davao de Oro,Female,60,Live-in,High School,9,Underemployed,Government,,6,2,Rented,Deep Well,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,None,5,21.1,,3.2,0,0
PH-002067,2020,Region II,Region II Province,Female,15,Single,Postgraduate,20,Employed,Transport/Logistics,17757.0,3,2,Owned - Concrete,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,None,None,3,32.4,16.0,3.3,1,1500
PH-002068,2020,Region XII,Region XII Province,Male,24,Married,Elementary,8,Self-Employed,None/Informal,32700.0,2,4,Informal Settler,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,4,22.5,1.0,9.1,0,0
PH-002069,2022,NCR,Metro Manila,Male,33,Live-in,College,16,Employed,Healthcare,51158.0,1,1,Rented,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,None,None,3,24.7,5.0,1.7,0,0
PH-002070,2021,Region IV-B,Region IV-B Province,Male,22,Live-in,College,15,Employed,Agriculture/Fishing,,5,2,Shared/Rent-free,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,None,None,4,19.8,3.0,8.8,0,0
PH-002071,2018,CARAGA,CARAGA Province,Female,38,Separated/Annulled,Vocational/Tech,12,Retired,None/Informal,,7,2,Rented,Deep Well,Pit Latrine,Meralco/Electric Coop,Both,PhilHealth Only,5,,18.0,24.3,0,0
PH-002072,2021,CARAGA,CARAGA Province,Female,32,Separated/Annulled,Vocational/Tech,12,Unemployed,None/Informal,,6,3,Shared/Rent-free,Bottled/Delivered,Pit Latrine,Solar,Broadband,PhilHealth Only,5,20.4,15.0,19.4,0,0
PH-002073,2023,Region IX,Region IX Province,Female,15,Single,High School,11,Employed,Healthcare,11968.0,1,1,Owned - Concrete,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Broadband,None,3,30.8,8.0,9.9,0,0
PH-002074,2022,Region VIII,Region VIII Province,Male,18,Live-in,Elementary,8,Self-Employed,Healthcare,8760.0,4,2,Rented,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth Only,2,15.8,7.0,1.1,1,2000
PH-002075,2023,NCR,Metro Manila,Male,43,Widowed,High School,9,Underemployed,Healthcare,16047.0,3,1,Owned - Light Materials,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,None,None,1,24.2,12.0,0.4,0,0
PH-002076,2020,Region IX,Region IX Province,Female,41,Single,College,15,Employed,Government,17709.0,3,1,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,1,22.2,5.0,10.9,0,0
PH-002077,2022,Region XI,Davao de Oro,Male,35,Separated/Annulled,Elementary,6,Employed,Agriculture/Fishing,15997.0,5,1,Shared/Rent-free,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,2,27.1,11.0,3.4,1,1500
PH-002078,2018,BARMM,Lanao del Sur,Female,28,Live-in,College,17,Unemployed,None/Informal,0.0,4,0,Owned - Light Materials,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,HMO Only,2,30.2,16.0,10.3,0,0
PH-002079,2019,Region II,Region II Province,Male,41,Single,College,16,Underemployed,Retail/Trade,15609.0,10,3,Shared/Rent-free,Piped/NAWASA,Pit Latrine,Meralco/Electric Coop,None,None,2,20.5,0.0,5.6,0,0
PH-002080,2021,CAR,CAR Province,Female,25,Live-in,College,15,Underemployed,Manufacturing,6560.0,3,0,Informal Settler,Deep Well,Pit Latrine,Meralco/Electric Coop,Both,HMO Only,5,28.2,10.0,22.4,0,0
PH-002081,2021,Region VIII,Region VIII Province,Male,35,Single,Vocational/Tech,11,Employed,Transport/Logistics,14519.0,7,2,Owned - Concrete,Bottled/Delivered,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,PhilHealth + HMO,1,23.7,5.0,0.9,1,1500
PH-002082,2021,Region III,Region III Province,Male,46,Widowed,Postgraduate,20,Employed,Manufacturing,76546.0,2,2,Owned - Concrete,Communal Faucet,None,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,2,22.5,6.0,2.4,1,1500
PH-002083,2019,Region XI,Davao del Norte,Female,35,Married,High School,12,Student,None/Informal,0.0,3,2,Rented,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Both,PhilHealth Only,3,23.5,3.0,3.3,1,2000
PH-002084,2020,CARAGA,CARAGA Province,Male,44,Live-in,College,15,Self-Employed,IT/Tech,32877.0,3,2,Owned - Light Materials,Piped/NAWASA,Water-sealed/Flush,None,Mobile Data Only,PhilHealth Only,3,17.5,11.0,7.4,1,500
PH-002085,2019,Region IV-A,Cavite,Female,41,Married,High School,12,Unemployed,None/Informal,0.0,3,0,Shared/Rent-free,Piped/NAWASA,Water-sealed/Flush,Generator,Both,HMO Only,2,24.7,9.0,2.3,0,0
PH-002086,2022,Region X,Region X Province,Male,42,Married,Vocational/Tech,13,Employed,Healthcare,8982.0,4,0,Rented,River/Rain,Shared Toilet,None,None,PhilHealth Only,2,24.7,3.0,3.8,1,1500
PH-002087,2020,BARMM,Maguindanao,Female,47,Married,College,15,Employed,Retail/Trade,17220.0,6,0,Shared/Rent-free,Bottled/Delivered,None,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,30.6,3.0,6.4,0,0
PH-002088,2018,Region I,La Union,Female,41,Single,Postgraduate,20,Self-Employed,Manufacturing,21550.0,5,1,Shared/Rent-free,Deep Well,Pit Latrine,None,None,PhilHealth Only,3,23.8,13.0,5.8,1,1000
PH-002089,2021,CAR,CAR Province,Male,39,Widowed,College,15,Unemployed,None/Informal,0.0,4,1,Owned - Concrete,Piped/NAWASA,Pit Latrine,Meralco/Electric Coop,Broadband,PhilHealth + HMO,3,26.2,9.0,14.0,1,500
PH-002090,2023,Region II,Region II Province,Female,59,Single,High School,12,Unemployed,None/Informal,,6,1,Rented,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,HMO Only,5,22.8,0.0,2.0,0,0
PH-002091,2018,Region VIII,Region VIII Province,Female,15,Separated/Annulled,Elementary,7,Employed,IT/Tech,,4,4,Informal Settler,Deep Well,None,Meralco/Electric Coop,None,None,4,23.6,12.0,1.6,1,1000
PH-002092,2018,Region IX,Region IX Province,Female,37,Married,Vocational/Tech,13,Self-Employed,Transport/Logistics,38658.0,2,3,Rented,Communal Faucet,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,None,3,22.8,11.0,11.8,0,0
PH-002093,2018,Region X,Region X Province,Male,37,Married,Elementary,6,Student,None/Informal,0.0,5,1,Informal Settler,Piped/NAWASA,None,None,None,HMO Only,3,28.0,3.0,5.2,0,0
PH-002094,2021,Region II,Region II Province,Male,29,Separated/Annulled,College,17,Self-Employed,Construction,32447.0,5,3,Rented,Shallow Well,Pit Latrine,None,Mobile Data Only,None,2,23.4,6.0,3.7,0,0
PH-002095,2023,Region XI,Davao de Oro,Female,39,Widowed,Elementary,6,Underemployed,Manufacturing,19506.0,3,3,Owned - Concrete,Shallow Well,Pit Latrine,None,None,PhilHealth Only,4,,,2.7,0,0
PH-002096,2020,Region VIII,Region VIII Province,Female,20,Separated/Annulled,College,15,Underemployed,Transport/Logistics,5489.0,7,3,Rented,Communal Faucet,Pit Latrine,Meralco/Electric Coop,None,PhilHealth Only,3,25.7,4.0,12.3,1,1000
PH-002097,2019,CARAGA,CARAGA Province,Male,36,Live-in,College,16,Student,None/Informal,,4,3,Informal Settler,Shallow Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,4,25.4,4.0,15.3,0,0
PH-002098,2023,Region IV-A,Laguna,Male,57,Live-in,High School,10,Employed,None/Informal,54570.0,7,1,Owned - Light Materials,Bottled/Delivered,Shared Toilet,None,None,HMO Only,2,24.0,8.0,8.3,0,0
PH-002099,2022,Region IV-A,Cavite,Female,15,Widowed,College,16,Underemployed,Transport/Logistics,28703.0,4,1,Shared/Rent-free,Deep Well,Shared Toilet,Meralco/Electric Coop,None,HMO Only,1,17.5,12.0,5.2,0,0
PH-002100,2021,Region VI,Region VI Province,Male,19,Separated/Annulled,High School,11,Employed,Manufacturing,,4,4,Owned - Light Materials,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,3,18.2,9.0,4.2,0,0
PH-002101,2019,Region VII,Siquijor,Female,15,Separated/Annulled,High School,11,Employed,Agriculture/Fishing,23562.0,4,3,Owned - Light Materials,Shallow Well,Water-sealed/Flush,None,None,PhilHealth Only,4,29.2,6.0,1.7,1,1000
PH-002102,2021,Region II,Region II Province,Female,65,Single,Vocational/Tech,11,Retired,IT/Tech,10134.0,4,2,Owned - Light Materials,Piped/NAWASA,Water-sealed/Flush,None,Broadband,PhilHealth + HMO,3,23.9,8.0,3.4,0,0
PH-002103,2020,Region I,Ilocos Sur,Male,34,Single,High School,11,Employed,Agriculture/Fishing,17569.0,3,2,Rented,Deep Well,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,2,,2.0,8.3,1,1000
PH-002104,2022,Region IV-A,Laguna,Male,49,Widowed,College,17,Self-Employed,Education,7016.0,4,1,Shared/Rent-free,Piped/NAWASA,None,Meralco/Electric Coop,Mobile Data Only,HMO Only,2,21.2,2.0,10.3,1,1000
PH-002105,2022,Region III,Region III Province,Female,46,Married,College,15,Underemployed,Government,25229.0,6,0,Rented,Piped/NAWASA,Water-sealed/Flush,None,Broadband,None,2,26.6,1.0,7.1,0,0
PH-002106,2022,Region I,Ilocos Norte,Female,32,Widowed,High School,10,Self-Employed,Retail/Trade,19440.0,6,2,Owned - Light Materials,Piped/NAWASA,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,None,2,29.4,2.0,6.8,0,0
PH-002107,2020,BARMM,Basilan,Female,42,Widowed,Vocational/Tech,13,Unemployed,None/Informal,0.0,4,2,Shared/Rent-free,Piped/NAWASA,Water-sealed/Flush,None,None,PhilHealth Only,2,28.4,11.0,8.3,1,1500
PH-002108,2019,Region III,Region III Province,Female,47,Married,College,18,Self-Employed,Manufacturing,15952.0,2,0,Shared/Rent-free,Piped/NAWASA,Water-sealed/Flush,None,None,None,3,19.1,16.0,1.2,0,0
PH-002109,2021,Region VI,Region VI Province,Female,55,Widowed,Elementary,6,Retired,Healthcare,10768.0,4,1,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,3,24.3,17.0,5.3,1,2000
PH-002110,2021,Region I,Ilocos Norte,Male,36,Widowed,College,18,Employed,Healthcare,-999.0,4,2,Shared/Rent-free,Piped/NAWASA,None,Meralco/Electric Coop,Broadband,None,1,,14.0,5.5,0,0
PH-002111,2020,BARMM,Tawi-Tawi,Female,32,Separated/Annulled,College,17,Employed,Construction,24613.0,5,1,Owned - Concrete,Communal Faucet,Water-sealed/Flush,Generator,Mobile Data Only,None,2,,5.0,14.9,1,1500
PH-002112,2020,Region IX,Region IX Province,Male,15,Separated/Annulled,High School,9,Employed,Construction,45138.0,5,2,Rented,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,31.5,14.0,0.5,1,1500
PH-002113,2022,Region VIII,Region VIII Province,Male,19,Live-in,College,18,Retired,Transport/Logistics,7708.0,4,2,Owned - Concrete,River/Rain,Water-sealed/Flush,Meralco/Electric Coop,Both,PhilHealth Only,3,25.3,4.0,3.2,1,2000
PH-002114,2023,CARAGA,CARAGA Province,Female,18,Married,Elementary,6,Unemployed,None/Informal,,3,0,Rented,Deep Well,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,PhilHealth + HMO,3,,3.0,30.4,1,500
PH-002115,2023,CARAGA,CARAGA Province,Male,40,Separated/Annulled,Vocational/Tech,13,Employed,Agriculture/Fishing,27198.0,3,3,Shared/Rent-free,Communal Faucet,Water-sealed/Flush,None,Broadband,PhilHealth + HMO,2,,20.0,11.3,0,0
PH-002116,2023,Region VIII,Region VIII Province,Male,48,Married,High School,9,Employed,Construction,15964.0,4,4,Shared/Rent-free,River/Rain,Water-sealed/Flush,None,Mobile Data Only,None,2,32.1,11.0,3.3,1,2000
PH-002117,2020,Region XI,Davao de Oro,Male,42,Single,Elementary,8,Retired,IT/Tech,14603.0,5,0,Shared/Rent-free,River/Rain,Water-sealed/Flush,Generator,Mobile Data Only,PhilHealth Only,2,23.5,9.0,6.9,0,0
PH-002118,2019,NCR,Metro Manila,Female,37,Live-in,High School,9,Employed,None/Informal,,5,3,Rented,Communal Faucet,Water-sealed/Flush,Generator,Mobile Data Only,PhilHealth Only,4,29.0,12.0,1.6,0,0
PH-002119,2022,Region IX,Region IX Province,Female,34,Live-in,High School,12,Employed,Education,8986.0,5,2,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,None,Both,None,3,19.1,2.0,8.2,0,0
PH-002120,2022,Region XII,Region XII Province,Female,34,Single,Elementary,8,Self-Employed,Transport/Logistics,36640.0,4,2,Rented,Communal Faucet,Water-sealed/Flush,Generator,Broadband,None,3,22.3,8.0,3.6,0,0
PH-002121,2021,Region X,Region X Province,Male,29,Married,Vocational/Tech,12,Student,None/Informal,,4,2,Owned - Light Materials,Shallow Well,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth + HMO,3,29.8,6.0,4.4,0,0
PH-002122,2021,Region III,Region III Province,Male,29,Widowed,Postgraduate,20,Unemployed,None/Informal,0.0,7,2,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,5,18.3,13.0,7.7,0,0
PH-002123,2021,Region IX,Region IX Province,Female,35,Separated/Annulled,Elementary,6,Student,None/Informal,0.0,6,1,Owned - Concrete,Deep Well,Pit Latrine,Generator,None,PhilHealth Only,5,34.2,9.0,3.7,1,2000
PH-002124,2018,Region IV-B,Region IV-B Province,Male,52,Single,High School,9,Underemployed,Government,29430.0,3,1,Informal Settler,Deep Well,Pit Latrine,Meralco/Electric Coop,None,None,2,18.9,3.0,2.0,0,0
PH-002125,2018,CARAGA,CARAGA Province,Male,25,Single,High School,11,Unemployed,None/Informal,0.0,4,2,Rented,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth + HMO,5,20.3,12.0,10.5,0,0
PH-002126,2023,Region III,Region III Province,Male,34,Single,High School,11,Unemployed,None/Informal,,6,0,Owned - Light Materials,Communal Faucet,Water-sealed/Flush,None,Mobile Data Only,PhilHealth Only,4,25.2,10.0,5.9,1,500
PH-002127,2019,Region XI,Davao del Norte,Female,64,Widowed,High School,9,Self-Employed,Agriculture/Fishing,16603.0,3,1,Shared/Rent-free,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,None,2,21.8,13.0,9.3,0,0
PH-002128,2020,Region II,Region II Province,Female,28,Separated/Annulled,College,15,Unemployed,None/Informal,,3,2,Informal Settler,Piped/NAWASA,None,Meralco/Electric Coop,Broadband,None,3,27.2,11.0,0.5,0,0
PH-002129,2023,Region IV-A,Batangas,Female,53,Live-in,Vocational/Tech,11,Retired,IT/Tech,,3,1,Owned - Light Materials,Communal Faucet,Water-sealed/Flush,Solar,Both,PhilHealth Only,4,25.9,11.0,11.0,0,0
PH-002130,2020,Region XII,Region XII Province,Female,32,Widowed,College,18,Unemployed,None/Informal,,3,0,Rented,Communal Faucet,Shared Toilet,Meralco/Electric Coop,None,None,3,24.4,,3.4,0,0
