transaction_id,order_date,year,month,quarter,store_id,store_format,region,sales_channel,employee_id,customer_id,customer_segment,category,subcategory,product_id,supplier,base_price_php,unit_cost_php,discount_pct,selling_price_php,quantity_sold,gross_revenue_php,cogs_php,gross_profit_php,gross_margin_pct,shipping_cost_php,delivery_days,promo_type,payment_method,return_flag,return_reason,stock_level,reorder_point,stockout_flag,customer_rating,nps_score,loyalty_points_earned,marketing_spend_php
TXN-100012,2022-08-21,2022,8,Q3,STR-104,Superstore,Davao,Website,EMP-1069,CUST-11417,VIP,Beauty & Health,Supplements,PRD-1042,Supplier_F,935.61,465.94,50,467.81,3,1403.43,1397.82,5.61,0.4,125.98,7,Buy1Get1,Bank Transfer,0,None,422,28,0,3.8,8.0,28,253.53
TXN-100013,2022-08-16,2022,8,Q3,STR-100,Express,NCR,Mobile App,EMP-1029,CUST-16174,At-Risk,Home & Living,Lighting,PRD-1060,Supplier_J,1363.57,971.45,0,1363.57,1,1363.57,971.45,392.12,28.76,223.44,2,Loyalty Points,Cash,0,None,329,53,0,3.7,,13,350.38
TXN-100014,2022-02-11,2022,2,Q1,STR-100,Superstore,Davao,Website,EMP-1036,CUST-19109,At-Risk,Automotive,Electronics,PRD-1018,Supplier_A,21863.26,13224.56,0,21863.26,3,65589.78,39673.68,25916.1,39.51,230.1,5,None,Debit Card,0,None,81,28,0,2.7,1.0,655,86.45
TXN-100015,2022-11-05,2022,11,Q4,STR-112,Online,Pampanga,Mobile App,EMP-1053,CUST-18393,At-Risk,Sports,Apparel,PRD-1044,Supplier_I,1241.85,787.54,0,1241.85,6,7451.1,4725.24,2725.86,36.58,110.91,5,Bundle Deal,Cash,0,None,480,38,0,3.6,,74,350.83
TXN-100016,2023-02-18,2023,2,Q1,STR-109,Express,Laguna,Website,EMP-1007,CUST-14171,New,Toys & Games,Board Games,PRD-1164,Supplier_A,12264.85,6824.66,5,11651.61,3,34954.83,20473.98,14480.85,41.43,75.87,1,Percent Discount,Cash,0,None,488,31,0,3.6,6.0,349,71.02
TXN-100017,2023-04-22,2023,4,Q2,STR-103,Superstore,Iloilo,Website,EMP-1055,CUST-13304,Regular,Toys & Games,Outdoor Toys,PRD-1121,Supplier_L,1115.32,684.05,0,1115.32,1,1115.32,684.05,431.27,38.67,138.73,5,None,Maya,0,None,248,33,0,3.4,,11,68.26
TXN-100018,2022-05-29,2022,5,Q2,STR-118,Online,Cebu,Website,EMP-1042,CUST-18121,Regular,Home & Living,Decor,PRD-1009,Supplier_G,6126.94,4209.82,30,4288.86,2,8577.72,8419.64,158.08,1.84,181.65,5,Percent Discount,BuyNow PayLater,0,None,165,69,0,,10.0,85,59.22
TXN-100019,2024-12-22,2024,12,Q4,STR-105,Express,Laguna,In-Store,EMP-1044,,New,Electronics,Accessories,PRD-1014,Supplier_A,582.18,350.54,0,582.18,3,582.18,350.54,231.64,39.79,0.0,0,Bundle Deal,BuyNow PayLater,0,None,186,27,0,3.6,4.0,5,328.89
TXN-100020,2022-11-11,2022,11,Q4,STR-110,Express,Batangas,In-Store,EMP-1079,,New,Sports,Apparel,PRD-1029,Supplier_K,132.47,72.79,0,132.47,1,132.47,72.79,59.68,45.05,0.0,0,Bundle Deal,Cash,1,Wrong Item,108,34,0,3.1,,1,15.97
TXN-100021,2023-12-08,2023,12,Q4,STR-101,Online,Batangas,Third-Party Platform,EMP-1028,CUST-14375,Regular,Toys & Games,Board Games,PRD-1078,Supplier_J,4619.42,2931.08,0,4619.42,10,46194.2,29310.8,16883.4,36.55,275.54,3,None,Maya,0,None,124,24,0,4.4,1.0,461,7.14
TXN-100022,2023-08-02,2023,8,Q3,STR-114,Kiosk,NCR,Third-Party Platform,EMP-1054,CUST-15257,VIP,Home & Living,Decor,PRD-1136,Supplier_O,2814.28,1824.6,0,2814.28,2,5628.56,3649.2,1979.36,35.17,179.11,7,None,Bank Transfer,0,None,482,77,0,4.1,3.0,112,74.05
TXN-100023,2022-06-24,2022,6,Q2,STR-102,Kiosk,Cebu,Website,EMP-1081,CUST-12125,Regular,Apparel,Footwear,PRD-1169,Supplier_K,2428.01,1594.86,0,2428.01,3,7284.03,4784.58,2499.45,34.31,112.28,14,None,BuyNow PayLater,0,None,24,56,1,4.8,,72,60.76
TXN-100024,2023-08-11,2023,8,Q3,STR-109,Superstore,Iloilo,Mobile App,EMP-1022,CUST-16805,Regular,Electronics,Mobile Phones,PRD-1098,Supplier_K,9387.94,5916.62,50,4693.97,1,4693.97,5916.62,-1222.65,-26.05,202.69,3,Buy1Get1,GCash,0,None,69,72,1,2.8,2.0,46,242.87
TXN-100025,2022-05-24,2022,5,Q2,STR-109,Online,Laguna,Mobile App,EMP-1076,CUST-17935,At-Risk,Apparel,Tops,PRD-1114,Supplier_E,649.96,425.42,40,389.98,5,1949.9,2127.1,-177.2,-9.09,260.27,1,Flash Sale,Bank Transfer,0,None,200,28,0,4.1,8.0,19,460.63
TXN-100026,2024-11-22,2024,11,Q4,STR-104,Kiosk,Davao,Mobile App,EMP-1073,CUST-10005,New,Beauty & Health,Haircare,PRD-1021,Supplier_A,1017.02,650.11,25,762.76,1,762.76,650.11,112.65,14.77,59.14,3,Percent Discount,Bank Transfer,0,None,222,70,0,3.5,6.0,7,317.82
TXN-100027,2022-08-23,2022,8,Q3,STR-109,Kiosk,Cebu,Third-Party Platform,EMP-1022,CUST-19092,New,Toys & Games,Board Games,PRD-1157,Supplier_B,3565.8,2606.83,0,3565.8,5,17829.0,13034.15,4794.85,26.89,153.46,3,None,GCash,0,None,132,65,0,4.2,,178,19.2
TXN-100028,2023-12-17,2023,12,Q4,STR-110,Express,Batangas,Mobile App,EMP-1089,CUST-19065,Regular,Sports,Equipment,PRD-1053,Supplier_M,4405.09,2887.56,0,4405.09,18,74886.53,49088.52,25798.01,34.45,228.28,5,None,BuyNow PayLater,0,None,22,64,1,4.8,,748,62.76
TXN-100029,2023-12-06,2023,12,Q4,STR-117,Express,Davao,Mobile App,EMP-1040,CUST-19143,VIP,Toys & Games,Outdoor Toys,PRD-1084,Supplier_L,3693.84,2476.13,0,3693.84,3,7387.68,4952.26,2435.42,32.97,91.12,1,Loyalty Points,Maya,0,None,23,24,1,4.3,5.0,147,13.76
TXN-100030,2022-07-09,2022,7,Q3,STR-117,Online,Pampanga,In-Store,EMP-1069,CUST-16217,Regular,Apparel,Accessories,PRD-1026,Supplier_O,9932.61,6479.13,50,4966.31,1,4966.31,6479.13,-1512.82,-30.46,0.0,0,Buy1Get1,GCash,0,None,219,75,0,5.0,10.0,49,55.51
TXN-100031,2023-05-01,2023,5,Q2,STR-109,Express,Laguna,In-Store,EMP-1035,CUST-16681,VIP,Home & Living,Kitchen,PRD-1033,Supplier_E,11242.94,5594.27,0,11242.94,2,22485.88,11188.54,11297.34,50.24,0.0,0,Bundle Deal,Debit Card,0,None,309,62,0,4.1,,449,41.48
TXN-100032,2023-12-09,2023,12,Q4,STR-102,Online,Iloilo,Website,EMP-1063,CUST-14940,Regular,Electronics,Cameras,PRD-1032,Supplier_H,370.5,268.93,15,314.93,2,629.86,537.86,92.0,14.61,97.48,3,Percent Discount,Debit Card,0,None,116,50,0,3.5,8.0,6,102.07
TXN-100033,2023-02-19,2023,2,Q1,STR-115,Express,NCR,Mobile App,EMP-1081,CUST-10051,New,Apparel,Footwear,PRD-1039,Supplier_K,2526.69,1779.24,0,2526.69,5,12633.45,8896.2,3737.25,29.58,159.09,1,Loyalty Points,BuyNow PayLater,0,None,390,49,0,3.0,0.0,126,125.24
TXN-100034,2022-04-26,2022,4,Q2,STR-118,Express,Laguna,Third-Party Platform,EMP-1050,CUST-16085,At-Risk,Toys & Games,Action Figures,PRD-1034,Supplier_E,1874.49,1102.58,0,1874.49,5,9372.45,5512.9,3859.55,41.18,123.41,1,None,Bank Transfer,0,None,351,35,0,4.7,,93,22.5
TXN-100035,2024-11-15,2024,11,Q4,STR-113,Superstore,Pampanga,Mobile App,EMP-1092,CUST-14264,Regular,Sports,Apparel,PRD-1000,Supplier_I,3789.26,2594.09,0,3789.26,18,60628.16,41505.44,19122.72,31.54,230.49,3,None,Cash,0,None,40,44,1,2.5,,606,56.76
TXN-100036,2023-04-01,2023,4,Q2,STR-111,Online,Davao,Website,EMP-1051,CUST-12643,Churned,Groceries,Beverages,PRD-1042,Supplier_A,7436.78,4376.99,0,7436.78,7,52057.46,30638.93,21418.53,41.14,219.84,2,Loyalty Points,BuyNow PayLater,0,None,164,45,0,1.4,,520,875.06
TXN-100037,2022-10-16,2022,10,Q4,STR-118,Kiosk,Laguna,Third-Party Platform,EMP-1019,CUST-17652,VIP,Groceries,Frozen,PRD-1101,Supplier_F,1159.09,853.02,30,811.36,4,3245.44,3412.08,-166.64,-5.13,156.71,3,Percent Discount,Debit Card,0,None,284,62,0,3.8,1.0,64,107.94
TXN-100038,2024-03-02,2024,3,Q1,STR-113,Online,Iloilo,Mobile App,EMP-1029,CUST-15589,VIP,Toys & Games,Puzzles,PRD-1022,Supplier_K,4450.01,2515.46,0,4450.01,5,22250.05,12577.3,9672.75,43.47,55.95,7,None,BuyNow PayLater,0,None,125,65,0,4.2,0.0,445,27.18
TXN-100039,2024-05-27,2024,5,Q2,STR-110,Express,Cagayan de Oro,Mobile App,EMP-1035,CUST-12762,Regular,Automotive,Car Care,PRD-1095,Supplier_L,2145.22,1266.28,0,2145.22,4,8580.88,5065.12,3515.76,40.97,139.09,14,None,Credit Card,0,None,329,47,0,3.3,2.0,85,94.59
TXN-100040,2024-08-08,2024,8,Q3,STR-114,Kiosk,Davao,Third-Party Platform,EMP-1024,CUST-11987,Regular,Groceries,Produce,PRD-1080,Supplier_N,1789.96,1045.81,25,1342.47,2,2684.94,2091.62,593.32,22.1,279.38,3,Percent Discount,Maya,0,None,247,22,0,4.4,0.0,26,421.59
TXN-100041,2022-09-16,2022,9,Q3,STR-107,Express,Batangas,In-Store,EMP-1098,CUST-14158,Churned,Electronics,Laptops,PRD-1009,Supplier_D,2728.6,1663.22,0,2728.6,1,2728.6,1663.22,1065.38,39.04,0.0,0,Bundle Deal,Bank Transfer,0,None,96,28,0,3.6,0.0,27,669.7
TXN-100042,2023-11-23,2023,11,Q4,STR-103,Express,NCR,Website,EMP-1021,CUST-19530,New,Home & Living,Lighting,PRD-1054,Supplier_M,648.29,311.46,0,648.29,7,3889.74,1868.76,2020.98,51.96,150.81,3,None,Debit Card,0,None,330,48,0,3.0,,38,36.53
TXN-100043,2024-10-09,2024,10,Q4,STR-119,Online,Davao,Mobile App,EMP-1011,CUST-15439,VIP,Toys & Games,Educational,PRD-1182,Supplier_O,1337.89,771.6,15,1137.21,5,5686.05,3858.0,1828.05,32.15,297.35,5,Percent Discount,BuyNow PayLater,0,None,130,54,0,3.9,0.0,113,755.28
TXN-100044,2023-06-28,2023,6,Q2,STR-107,Express,Pampanga,Mobile App,EMP-1085,CUST-15058,Regular,Sports,Equipment,PRD-1020,Supplier_B,1453.4,996.6,0,1453.4,16,23254.4,15945.6,7308.8,31.43,203.57,10,None,Debit Card,0,None,308,72,0,3.1,,232,61.12
TXN-100045,2022-09-29,2022,9,Q3,STR-112,Superstore,Cebu,Website,EMP-1021,CUST-10118,Regular,Automotive,Accessories,PRD-1096,Supplier_E,1236.28,816.06,0,1236.28,7,8653.96,5712.42,2941.54,33.99,209.93,2,Loyalty Points,Credit Card,0,None,411,55,0,4.5,,86,13.6
TXN-100046,2022-05-03,2022,5,Q2,STR-118,Express,NCR,In-Store,EMP-1033,,New,Automotive,Parts,PRD-1028,Supplier_N,1217.22,631.64,0,1217.22,2,2434.44,1263.28,1171.16,48.11,0.0,0,None,Debit Card,0,None,333,42,0,,3.0,24,5.85
TXN-100047,2023-04-22,2023,4,Q2,STR-116,Express,Iloilo,In-Store,EMP-1058,,Regular,Apparel,Accessories,PRD-1192,Supplier_E,1179.3,868.02,0,1179.3,20,23586.0,17360.4,6225.6,26.4,0.0,0,None,Credit Card,0,None,219,72,0,4.3,3.0,235,6.47
TXN-100048,2024-06-14,2024,6,Q2,STR-107,Online,Iloilo,Third-Party Platform,EMP-1011,CUST-12020,New,Electronics,Laptops,PRD-1068,Supplier_M,1500.94,700.08,30,1050.66,1,1050.66,700.08,350.58,33.37,152.73,2,Flash Sale,GCash,1,Defective,86,21,0,,1.0,10,168.76
TXN-100049,2022-06-06,2022,6,Q2,STR-109,Express,Batangas,Third-Party Platform,EMP-1076,CUST-10699,Regular,Sports,Footwear,PRD-1131,Supplier_I,3663.44,2746.89,10,3297.1,3,9891.3,8240.67,1650.63,16.69,182.25,3,Percent Discount,Cash,0,None,352,39,0,4.3,10.0,98,356.33
TXN-100050,2024-09-11,2024,9,Q3,STR-105,Kiosk,Laguna,In-Store,EMP-1025,CUST-12135,At-Risk,Sports,Apparel,PRD-1067,Supplier_B,4541.15,2443.14,5,4314.09,1,4314.09,2443.14,1870.95,43.37,0.0,0,Percent Discount,Credit Card,0,None,405,68,0,4.3,6.0,43,167.08
TXN-100051,2024-08-09,2024,8,Q3,STR-115,Superstore,Cagayan de Oro,Third-Party Platform,EMP-1096,CUST-14015,VIP,Home & Living,Decor,PRD-1027,Supplier_O,2207.47,1559.61,50,1103.73,2,2207.46,3119.22,-911.76,-41.3,176.02,5,Flash Sale,Debit Card,0,None,478,68,0,5.0,,44,58.02
TXN-100052,2022-02-03,2022,2,Q1,STR-111,Superstore,Iloilo,Website,EMP-1076,CUST-10856,At-Risk,Groceries,Beverages,PRD-1191,Supplier_E,1320.74,839.21,25,990.56,2,1981.12,1678.42,302.7,15.28,165.1,5,Percent Discount,Maya,0,None,95,62,0,3.4,3.0,19,269.84
TXN-100053,2023-07-24,2023,7,Q3,STR-118,Express,Pampanga,Third-Party Platform,EMP-1013,CUST-17904,Regular,Sports,Apparel,PRD-1071,Supplier_K,6723.85,3673.16,15,5715.27,2,11430.54,7346.32,4084.22,35.73,294.1,3,Percent Discount,Credit Card,0,None,312,52,0,3.4,,114,70.98
TXN-100054,2024-02-15,2024,2,Q1,STR-108,Express,Laguna,Website,EMP-1071,CUST-11476,At-Risk,Beauty & Health,Pharmacy,PRD-1155,Supplier_C,1469.38,769.19,5,1395.91,7,9771.37,5384.33,4387.04,44.9,289.47,1,Percent Discount,Debit Card,0,None,318,54,0,4.6,8.0,97,99.4
TXN-100055,2024-11-01,2024,11,Q4,STR-115,Express,Cebu,In-Store,EMP-1000,,Regular,Sports,Apparel,PRD-1082,Supplier_B,820.74,606.74,50,410.37,5,820.74,1213.48,-392.74,-47.85,0.0,0,Buy1Get1,Cash,0,None,449,53,0,4.2,9.0,8,29.85
TXN-100056,2023-09-25,2023,9,Q3,STR-114,Express,Laguna,Website,EMP-1032,CUST-10935,At-Risk,Electronics,Mobile Phones,PRD-1097,Supplier_C,1395.07,927.73,0,1395.07,3,4185.21,2783.19,1402.02,33.5,224.48,7,None,Credit Card,0,None,419,62,0,2.4,9.0,41,16.22
TXN-100057,2024-09-26,2024,9,Q3,STR-102,Express,Batangas,Website,EMP-1008,CUST-16543,At-Risk,Toys & Games,Puzzles,PRD-1143,Supplier_M,2333.2,1243.82,0,2333.2,9,20998.8,11194.38,9804.42,46.69,93.9,7,Loyalty Points,GCash,0,None,423,52,0,3.6,4.0,209,124.68
TXN-100058,2024-02-05,2024,2,Q1,STR-119,Kiosk,Davao,Mobile App,EMP-1065,CUST-10754,Regular,Sports,Fitness,PRD-1005,Supplier_H,3591.42,2177.61,40,2154.85,2,4309.7,4355.22,-45.52,-1.06,122.49,3,Flash Sale,Credit Card,0,None,179,24,0,4.1,8.0,43,110.41
TXN-100059,2022-06-04,2022,6,Q2,STR-105,Superstore,Cebu,Website,EMP-1017,CUST-13675,Regular,Toys & Games,Puzzles,PRD-1191,Supplier_K,8239.46,4759.84,0,8239.46,3,24718.38,14279.52,10438.86,42.23,244.79,2,Loyalty Points,Cash,0,None,331,44,0,3.2,10.0,247,67.29
TXN-100060,2023-10-08,2023,10,Q4,STR-107,Kiosk,Iloilo,In-Store,EMP-1060,CUST-14845,Regular,Sports,Equipment,PRD-1173,Supplier_L,10987.83,5453.13,30,7691.48,3,7691.48,5453.13,2238.35,29.1,0.0,0,Percent Discount,Bank Transfer,0,None,186,27,0,2.9,9.0,76,261.17
TXN-100061,2022-04-03,2022,4,Q2,STR-109,Superstore,Pampanga,In-Store,EMP-1081,CUST-16170,Regular,Groceries,Beverages,PRD-1145,Supplier_J,4030.85,2524.32,0,4030.85,7,28215.95,17670.24,10545.71,37.37,0.0,0,None,GCash,0,None,80,75,0,4.8,3.0,282,52.68
TXN-100062,2023-11-08,2023,11,Q4,STR-119,Express,Cagayan de Oro,In-Store,EMP-1094,,Regular,Toys & Games,Board Games,PRD-1057,Supplier_E,1297.83,585.8,0,1297.83,5,6489.15,2929.0,3560.15,54.86,0.0,0,None,BuyNow PayLater,0,None,56,48,0,4.3,8.0,64,13.38
TXN-100063,2023-09-28,2023,9,Q3,STR-101,Superstore,Laguna,Mobile App,EMP-1086,CUST-16062,Regular,Groceries,Snacks,PRD-1000,Supplier_M,25167.4,15457.49,0,25167.4,2,50334.8,30914.98,19419.82,38.58,197.66,10,Loyalty Points,Cash,1,Size Issue,462,60,0,4.7,2.0,503,6.54
TXN-100064,2023-04-15,2023,4,Q2,STR-118,Superstore,Batangas,Mobile App,EMP-1090,CUST-12688,At-Risk,Groceries,Produce,PRD-1009,Supplier_I,1146.47,764.12,0,1146.47,5,5732.35,3820.6,1911.75,33.35,133.31,7,Loyalty Points,Cash,0,None,34,42,1,3.4,2.0,57,165.45
TXN-100065,2022-07-18,2022,7,Q3,STR-113,Superstore,Laguna,Mobile App,EMP-1066,CUST-11730,At-Risk,Sports,Outdoors,PRD-1118,Supplier_D,1724.57,1065.96,0,1724.57,1,1724.57,1065.96,658.61,38.19,127.56,2,None,GCash,0,None,314,75,0,4.2,1.0,17,65.11
TXN-100066,2023-03-13,2023,3,Q1,STR-115,Online,Pampanga,In-Store,EMP-1088,CUST-13063,Churned,Groceries,Snacks,PRD-1197,Supplier_H,868.54,489.07,0,868.54,2,1737.08,978.14,758.94,43.69,0.0,0,None,Bank Transfer,0,None,301,68,0,4.0,8.0,17,56.17
TXN-100067,2024-02-25,2024,2,Q1,STR-115,Superstore,NCR,Website,EMP-1077,CUST-15518,New,Apparel,Accessories,PRD-1000,Supplier_J,4427.03,3280.16,0,4427.03,2,8854.06,6560.32,2293.74,25.91,124.29,3,None,Maya,0,None,90,32,0,4.1,7.0,88,20.79
TXN-100068,2023-11-26,2023,11,Q4,STR-105,Kiosk,Iloilo,Mobile App,EMP-1026,CUST-10790,Regular,Electronics,Accessories,PRD-1110,Supplier_H,5015.99,2690.22,50,2507.99,2,2507.99,2690.22,-182.23,-7.27,198.88,3,Flash Sale,Credit Card,0,None,364,47,0,2.5,0.0,25,151.59
TXN-100069,2022-08-08,2022,8,Q3,STR-102,Express,Batangas,Website,EMP-1009,CUST-19977,Regular,Beauty & Health,Supplements,PRD-1169,Supplier_G,3246.71,2207.67,0,3246.71,10,32467.1,22076.7,10390.4,32.0,73.13,3,Loyalty Points,Debit Card,0,None,27,20,0,,,324,178.4
TXN-100070,2024-02-24,2024,2,Q1,STR-111,Superstore,Pampanga,Website,EMP-1062,CUST-19862,Regular,Groceries,Snacks,PRD-1178,Supplier_K,834.1,429.99,15,708.99,2,1417.98,859.98,558.0,39.35,232.74,3,Percent Discount,Credit Card,0,None,413,36,0,4.0,3.0,14,52.43
TXN-100071,2022-12-23,2022,12,Q4,STR-118,Express,Laguna,Third-Party Platform,EMP-1024,CUST-17351,Regular,Groceries,Dairy,PRD-1102,Supplier_C,2220.49,1320.37,0,2220.49,4,4440.98,2640.74,1800.24,40.54,248.76,3,None,Bank Transfer,1,Defective,151,47,0,3.8,,44,88.92
TXN-100072,2022-03-12,2022,3,Q1,STR-107,Kiosk,Iloilo,Third-Party Platform,EMP-1075,CUST-15035,New,Toys & Games,Board Games,PRD-1084,Supplier_J,519.35,256.53,25,389.51,4,1558.04,1026.12,531.92,34.14,233.07,5,Percent Discount,Maya,1,Changed Mind,251,53,0,3.8,4.0,15,306.63
TXN-100073,2022-01-12,2022,1,Q1,STR-116,Superstore,Cagayan de Oro,In-Store,EMP-1027,CUST-15649,New,Toys & Games,Board Games,PRD-1006,Supplier_F,6373.27,3748.86,0,6373.27,1,6373.27,3748.86,2624.41,41.18,0.0,0,Loyalty Points,Maya,0,None,272,75,0,2.2,2.0,63,108.96
TXN-100074,2023-01-23,2023,1,Q1,STR-117,Superstore,Iloilo,In-Store,EMP-1011,,Regular,Sports,Footwear,PRD-1142,Supplier_O,1247.42,814.42,50,623.71,11,6860.81,8958.62,-2097.81,-30.58,0.0,0,Buy1Get1,Cash,0,None,196,37,0,4.6,1.0,68,12.07
TXN-100075,2024-07-12,2024,7,Q3,STR-113,Express,Batangas,Website,EMP-1024,CUST-19620,Regular,Apparel,Footwear,PRD-1149,Supplier_K,1303.13,822.15,0,1303.13,3,3909.39,2466.45,1442.94,36.91,152.49,3,None,Credit Card,0,None,475,77,0,3.5,1.0,39,64.51
TXN-100076,2022-05-18,2022,5,Q2,STR-112,Online,Cagayan de Oro,Website,EMP-1039,CUST-19762,Regular,Groceries,Produce,PRD-1161,Supplier_C,4335.01,2116.16,0,4335.01,12,52020.12,25393.92,26626.2,51.18,111.55,1,None,Maya,0,None,26,47,1,4.0,6.0,520,32.49
TXN-100077,2022-03-19,2022,3,Q1,STR-105,Kiosk,Iloilo,Third-Party Platform,EMP-1004,CUST-16533,At-Risk,Automotive,Accessories,PRD-1057,Supplier_K,10607.89,4822.96,50,5303.94,3,15911.82,14468.88,1442.94,9.07,255.88,10,Buy1Get1,Bank Transfer,0,None,24,45,1,4.4,5.0,159,280.28
TXN-100078,2022-01-15,2022,1,Q1,STR-117,Online,Laguna,In-Store,EMP-1023,CUST-17478,VIP,Sports,Fitness,PRD-1190,Supplier_B,5810.25,3491.44,0,5810.25,1,5810.25,3491.44,2318.81,39.91,0.0,0,None,BuyNow PayLater,0,None,300,63,0,4.9,0.0,116,6.84
TXN-100079,2022-04-28,2022,4,Q2,STR-117,Express,Pampanga,Mobile App,EMP-1089,CUST-11882,New,Automotive,Car Care,PRD-1162,Supplier_J,3615.68,1913.9,0,3615.68,4,14462.72,7655.6,6807.12,47.07,86.47,7,None,Maya,0,None,310,79,0,4.0,,144,7.16
TXN-100080,2023-07-15,2023,7,Q3,STR-106,Express,Laguna,Mobile App,EMP-1035,CUST-17940,Regular,Electronics,Mobile Phones,PRD-1003,Supplier_C,3326.15,1982.13,30,2328.3,1,2328.3,1982.13,346.17,14.87,248.79,5,Flash Sale,GCash,0,None,349,55,0,3.8,,23,336.11
TXN-100081,2023-01-22,2023,1,Q1,STR-113,Online,NCR,Mobile App,EMP-1066,CUST-19374,Regular,Groceries,Produce,PRD-1102,Supplier_N,752.71,365.56,50,376.36,3,1129.08,1096.68,32.4,2.87,223.62,3,Buy1Get1,Credit Card,1,Changed Mind,222,53,0,2.7,,11,766.19
TXN-100082,2024-05-08,2024,5,Q2,STR-106,Online,Iloilo,Website,EMP-1089,CUST-10668,VIP,Electronics,Mobile Phones,PRD-1081,Supplier_A,4975.66,3078.98,50,2487.83,13,32341.79,40026.74,-7684.95,-23.76,88.04,10,Buy1Get1,Cash,1,Late Delivery,405,39,0,,2.0,646,371.46
